Date,Rate,BOP,GDP,GGDEBT,PPP,TERMTRADE,INTRATE,INFRATE,PPI
2001-01-30,0.9263,,,,0.827453,,,,
2001-01-31,0.9368,,,,0.827453,,,,
2001-02-01,0.938,,,,0.827453,,,,
2001-02-02,0.9358,,,,0.827453,,,,
2001-02-05,0.9373,,,,0.827453,,,,
2001-02-06,0.9311,,,,0.827453,,,,
2001-02-07,0.9283,,,,0.827453,,,,
2001-02-08,0.9178,,,,0.827453,,,,
2001-02-09,0.9244,,,,0.827453,,,,
2001-02-12,0.9316,,,,0.827453,,,,
2001-02-13,0.9195,,,,0.827453,,,,
2001-02-14,0.9176,,,,0.827453,,,,
2001-02-15,0.9047,,,,0.827453,,,,
2001-02-16,0.9141,,,,0.827453,,,,
2001-02-20,0.9121,,,,0.827453,,,,
2001-02-21,0.9087,,,,0.827453,,,,
2001-02-22,0.9048,,,,0.827453,,,,
2001-02-23,0.9173,,,,0.827453,,,,
2001-02-26,0.9104,,,,0.827453,,,,
2001-02-27,0.9186,,,,0.827453,,,,
2001-02-28,0.9232,,,,0.827453,,,,
2001-03-01,0.9298,,,,0.827453,,,,
2001-03-02,0.9354,,,,0.827453,,,,
2001-03-05,0.9284,,,,0.827453,,,,
2001-03-06,0.934,,,,0.827453,,,,
2001-03-07,0.9294,,,,0.827453,,,,
2001-03-08,0.9324,,,,0.827453,,,,
2001-03-09,0.933,,,,0.827453,,,,
2001-03-12,0.9279,,,,0.827453,,,,
2001-03-13,0.9149,,,,0.827453,,,,
2001-03-14,0.9116,,,,0.827453,,,,
2001-03-15,0.8965,,,,0.827453,,,,
2001-03-16,0.8972,,,,0.827453,,,,
2001-03-19,0.899,,,,0.827453,,,,
2001-03-20,0.9093,,,,0.827453,,,,
2001-03-21,0.8956,,,,0.827453,,,,
2001-03-22,0.8886,,,,0.827453,,,,
2001-03-23,0.8901,,,,0.827453,,,,
2001-03-26,0.896,,,,0.827453,,,,
2001-03-27,0.893,,,,0.827453,,,,
2001-03-28,0.886,,,,0.827453,,,,
2001-03-29,0.883,,,,0.827453,,,,
2001-03-30,0.8759,,,,0.827453,,,,
2001-04-02,0.8794,,,,0.827453,,,,
2001-04-03,0.8976,,,,0.827453,,,,
2001-04-04,0.901,,,,0.827453,,,,
2001-04-05,0.8961,,,,0.827453,,,,
2001-04-06,0.9042,,,,0.827453,,,,
2001-04-09,0.8968,,,,0.827453,,,,
2001-04-10,0.8888,,,,0.827453,,,,
2001-04-11,0.888,,,,0.827453,,,,
2001-04-12,0.8915,,,,0.827453,,,,
2001-04-16,0.888,,,,0.827453,,,,
2001-04-17,0.8834,,,,0.827453,,,,
2001-04-18,0.8824,,,,0.827453,,,,
2001-04-19,0.898,,,,0.827453,,,,
2001-04-20,0.9018,,,,0.827453,,,,
2001-04-23,0.8976,,,,0.827453,,,,
2001-04-24,0.8939,,,,0.827453,,,,
2001-04-25,0.8968,,,,0.827453,,,,
2001-04-26,0.9029,,,,0.827453,,,,
2001-04-27,0.8918,,,,0.827453,,,,
2001-04-30,0.8868,,,,0.827453,,,,
2001-05-01,0.8933,,,,0.827453,,,,
2001-05-02,0.8939,,,,0.827453,,,,
2001-05-03,0.8896,,,,0.827453,,,,
2001-05-04,0.8924,,,,0.827453,,,,
2001-05-07,0.8905,,,,0.827453,,,,
2001-05-08,0.8846,,,,0.827453,,,,
2001-05-09,0.8853,,,,0.827453,,,,
2001-05-10,0.8813,,,,0.827453,,,,
2001-05-11,0.8752,,,,0.827453,,,,
2001-05-14,0.8742,,,,0.827453,,,,
2001-05-15,0.8785,,,,0.827453,,,,
2001-05-16,0.8833,,,,0.827453,,,,
2001-05-17,0.8828,,,,0.827453,,,,
2001-05-18,0.8804,,,,0.827453,,,,
2001-05-21,0.8772,,,,0.827453,,,,
2001-05-22,0.8647,,,,0.827453,,,,
2001-05-23,0.8568,,,,0.827453,,,,
2001-05-24,0.856,,,,0.827453,,,,
2001-05-25,0.8604,,,,0.827453,,,,
2001-05-29,0.8552,,,,0.827453,,,,
2001-05-30,0.8568,,,,0.827453,,,,
2001-05-31,0.8458,,,,0.827453,,,,
2001-06-01,0.846,,,,0.827453,,,,
2001-06-04,0.8462,,,,0.827453,,,,
2001-06-05,0.8542,,,,0.827453,,,,
2001-06-06,0.8482,,,,0.827453,,,,
2001-06-07,0.8502,,,,0.827453,,,,
2001-06-08,0.8504,,,,0.827453,,,,
2001-06-11,0.843,,,,0.827453,,,,
2001-06-12,0.8536,,,,0.827453,,,,
2001-06-13,0.8545,,,,0.827453,,,,
2001-06-14,0.8625,,,,0.827453,,,,
2001-06-15,0.861,,,,0.827453,,,,
2001-06-18,0.8612,,,,0.827453,,,,
